Employee_ID,title_clean,cluster,Cluster_Label,Individual_Skills,Skills_String,Skills_Count,Similar_Employee_1,Similar_Employee_1_Score,Similar_Employee_2,Similar_Employee_2_Score,Similar_Employee_3,Similar_Employee_3_Score
EMP_0018,Human Resources and Benefits Administrator,7,HR Operations,"['HR/Payroll', 'Admin/EA']","HR/Payroll, Admin/EA",2,EMP_0386,0.927100003,EMP_0398,0.926199973,EMP_0388,0.925899982
EMP_0019,Process Safety Engineer,16,Process Safety,"['ITSM/Service Desk', 'Engineering/Maintenance', 'Safety/EHS']","ITSM/Service Desk, Engineering/Maintenance, Safety/EHS",3,EMP_0012,0.999599993,EMP_0013,0.915499985,EMP_0340,0.906199992
EMP_0020,TAR Inventory Tech,8,Plant Operations & HSE / Shift & Lab Support,"['ITSM/Service Desk', 'Engineering/Maintenance', 'Safety/EHS', 'Supply Chain']","ITSM/Service Desk, Engineering/Maintenance, Safety/EHS, Supply Chain",4,EMP_0017,0.862100005,EMP_0118,0.84859997,EMP_0015,0.845499992
EMP_0021,Customer Service Specialist Korea,2,Customer Service & Logistics (Supply Chain Execution),"['Excel', 'Oracle/ERP', 'Engineering/Maintenance', 'Supply Chain']","Excel, Oracle/ERP, Engineering/Maintenance, Supply Chain",4,EMP_0026,0.952700019,EMP_0024,0.950399995,EMP_0138,0.906599998
EMP_0022,Safety Advisor,16,Process Safety,"['Excel', 'Safety/EHS']","Excel, Safety/EHS",2,EMP_0006,0.875999987,EMP_0177,0.872300029,EMP_0019,0.864700019
EMP_0023,Operations Manager,8,Plant Operations & HSE / Shift & Lab Support,"['ITSM/Service Desk', 'Engineering/Maintenance', 'Safety/EHS']","ITSM/Service Desk, Engineering/Maintenance, Safety/EHS",3,EMP_0106,0.964100003,EMP_0185,0.9102,EMP_0084,0.9102
EMP_0024,"CS Specialist,",2,Customer Service & Logistics (Supply Chain Execution),"['Excel', 'Oracle/ERP', 'Supply Chain']","Excel, Oracle/ERP, Supply Chain",3,EMP_0026,0.992299974,EMP_0021,0.950399995,EMP_0138,0.927999973
EMP_0025,Market Analyst,20,Global Supply Chain Planning,"['Excel', 'Engineering/Maintenance', 'Supply Chain', 'Finance/Reporting']","Excel, Engineering/Maintenance, Supply Chain, Finance/Reporting",4,EMP_0042,0.942600012,EMP_0593,0.914499998,EMP_0605,0.900200009
EMP_0026,CS Specialist,2,Customer Service & Logistics (Supply Chain Execution),"['Excel', 'Supply Chain']","Excel, Supply Chain",2,EMP_0024,0.992299974,EMP_0021,0.952700019,EMP_0138,0.9199
EMP_0027,Senior Supply Logistics Specialist,2,Customer Service & Logistics (Supply Chain Execution),"['Excel', 'Oracle/ERP', 'Supply Chain', 'Legal/Contracts', 'Data Analysis', 'Project Management']","Excel, Oracle/ERP, Supply Chain, Legal/Contracts, Data Analysis, Project Management",6,EMP_0041,0.920899987,EMP_0601,0.907700002,EMP_0600,0.907199979
EMP_0028,Job Description Internal EU Commercial Director,20,Global Supply Chain Planning,[],None,0,EMP_0584,0.877099991,EMP_0081,0.850899994,EMP_0078,0.833299994
EMP_0029,Financial Analyst,6,Financial Reporting & Accounting (Controllership),"['Excel', 'Oracle/ERP', 'Tax/Transfer Pricing', 'Finance/Reporting']","Excel, Oracle/ERP, Tax/Transfer Pricing, Finance/Reporting",4,EMP_0037,0.963,EMP_0001,0.910600007,EMP_0263,0.905799985
EMP_0030,Senior Accountant,6,Financial Reporting & Accounting (Controllership),"['Oracle/ERP', 'Supply Chain', 'Tax/Transfer Pricing', 'Finance/Reporting']","Oracle/ERP, Supply Chain, Tax/Transfer Pricing, Finance/Reporting",4,EMP_0011,0.961700022,EMP_0047,0.938600004,EMP_0261,0.877499998
EMP_0031,Power Engineering Summer Student,8,Plant Operations & HSE / Shift & Lab Support,"['Engineering/Maintenance', 'Safety/EHS']","Engineering/Maintenance, Safety/EHS",2,EMP_0157,0.989400029,EMP_0036,0.791100025,EMP_0013,0.786199987
EMP_0032,Industrial Mechanic Millwright,17,Maintenance & Reliability Engineering,"['Engineering/Maintenance', 'Safety/EHS', 'Supply Chain']","Engineering/Maintenance, Safety/EHS, Supply Chain",3,EMP_0086,0.911899984,EMP_0124,0.895799994,EMP_0064,0.885599971
EMP_0033,Lab Technician,8,Plant Operations & HSE / Shift & Lab Support,"['Engineering/Maintenance', 'Safety/EHS']","Engineering/Maintenance, Safety/EHS",2,EMP_0040,0.984200001,EMP_0045,0.972599983,EMP_0050,0.842199981
EMP_0034,IT Analyst,22,IT Service Desk & End-User Support,['ITSM/Service Desk'],ITSM/Service Desk,1,EMP_0506,0.965799987,EMP_0499,0.958500028,EMP_0459,0.94660002
EMP_0035,Product Handler,8,Plant Operations & HSE / Shift & Lab Support,"['Excel', 'Engineering/Maintenance', 'Safety/EHS']","Excel, Engineering/Maintenance, Safety/EHS",3,EMP_0015,0.985300004,EMP_0009,0.984899998,EMP_0129,0.870299995
EMP_0036,Buyer,21,Procurement / Buying,"['Safety/EHS', 'Supply Chain', 'Legal/Contracts']","Safety/EHS, Supply Chain, Legal/Contracts",3,EMP_0051,0.958100021,EMP_0176,0.908900023,EMP_0115,0.881500006
EMP_0037,Financial Analyst Manufacturing,6,Financial Reporting & Accounting (Controllership),"['Excel', 'Oracle/ERP', 'Finance/Reporting']","Excel, Oracle/ERP, Finance/Reporting",3,EMP_0029,0.963,EMP_0143,0.905700028,EMP_0146,0.901600003
EMP_0038,TAR Analytics Coordinator,23,Mechanical Maintenance Planning,"['Engineering/Maintenance', 'IT/Business Systems']","Engineering/Maintenance, IT/Business Systems",2,EMP_0020,0.829999983,EMP_0109,0.82950002,EMP_0101,0.826499999
EMP_0039,HR Advisor,7,HR Operations,"['Engineering/Maintenance', 'HR/Payroll', 'Legal/Contracts']","Engineering/Maintenance, HR/Payroll, Legal/Contracts",3,EMP_0003,0.975000024,EMP_0404,0.921700001,EMP_0387,0.913699985
EMP_0040,Lab Technician August,8,Plant Operations & HSE / Shift & Lab Support,"['Engineering/Maintenance', 'Safety/EHS']","Engineering/Maintenance, Safety/EHS",2,EMP_0033,0.984200001,EMP_0045,0.961399972,EMP_0050,0.828199983
EMP_0041,Supply Logistics Specialist,2,Customer Service & Logistics (Supply Chain Execution),"['Excel', 'Oracle/ERP', 'Supply Chain']","Excel, Oracle/ERP, Supply Chain",3,EMP_0027,0.920899987,EMP_0211,0.897199988,EMP_0600,0.893299997
EMP_0042,Product Manager Asia,20,Global Supply Chain Planning,"['Excel', 'Engineering/Maintenance']","Excel, Engineering/Maintenance",2,EMP_0025,0.942600012,EMP_0593,0.888899982,EMP_0605,0.887899995
EMP_0043,Administrative Assistant Responsible Care,3,Corporate Admin Support (Office Coordination),"['Excel', 'Engineering/Maintenance', 'Safety/EHS', 'Admin/EA']","Excel, Engineering/Maintenance, Safety/EHS, Admin/EA",4,EMP_0610,0.915700018,EMP_0170,0.866900027,EMP_0018,0.859600008
EMP_0044,Front Desk Administrative Assistant,15,Front Office & Reception,"['Excel', 'Safety/EHS', 'Admin/EA']","Excel, Safety/EHS, Admin/EA",3,EMP_0212,0.869400024,EMP_0224,0.865400016,EMP_0226,0.862299979
EMP_0045,Lab Technician,8,Plant Operations & HSE / Shift & Lab Support,"['Engineering/Maintenance', 'Safety/EHS']","Engineering/Maintenance, Safety/EHS",2,EMP_0033,0.972599983,EMP_0040,0.961399972,EMP_0050,0.844299972
EMP_0046,Manager Responsible Care,16,Process Safety,['Safety/EHS'],Safety/EHS,1,EMP_0611,0.917699993,EMP_0613,0.915300012,EMP_0612,0.89349997
EMP_0047,Senior Accountant Korea,6,Financial Reporting & Accounting (Controllership),"['Oracle/ERP', 'Supply Chain', 'Audit/SOX', 'Tax/Transfer Pricing']","Oracle/ERP, Supply Chain, Audit/SOX, Tax/Transfer Pricing",4,EMP_0030,0.938600004,EMP_0011,0.914900005,EMP_0094,0.865700006
EMP_0048,Drafter MH,10,Engineering (Electrical / Instrumentation & Controls),"['Excel', 'Engineering/Maintenance', 'Safety/EHS']","Excel, Engineering/Maintenance, Safety/EHS",3,EMP_0117,0.975399971,EMP_0004,0.838699996,EMP_0132,0.830500007
EMP_0049,Asset Intgerity Inspector,16,Process Safety,"['Engineering/Maintenance', 'Safety/EHS']","Engineering/Maintenance, Safety/EHS",2,EMP_0107,0.91869998,EMP_0150,0.842599988,EMP_0050,0.830600023
EMP_0050,Instrumentation Technician,10,Engineering (Electrical / Instrumentation & Controls),['Engineering/Maintenance'],Engineering/Maintenance,1,EMP_0016,0.905600011,EMP_0014,0.904900014,EMP_0052,0.902700007
EMP_0051,Buyer,21,Procurement / Buying,"['Excel', 'Safety/EHS', 'Supply Chain']","Excel, Safety/EHS, Supply Chain",3,EMP_0036,0.958100021,EMP_0176,0.916299999,EMP_0053,0.901600003
EMP_0052,IE Engineer MH,10,Engineering (Electrical / Instrumentation & Controls),"['Engineering/Maintenance', 'Safety/EHS', 'Project Management']","Engineering/Maintenance, Safety/EHS, Project Management",3,EMP_0016,0.987900019,EMP_0014,0.987200022,EMP_0008,0.978999972
EMP_0053,Purchasing Finance Coordinator,21,Procurement / Buying,"['Excel', 'Oracle/ERP', 'Supply Chain']","Excel, Oracle/ERP, Supply Chain",3,EMP_0051,0.901600003,EMP_0001,0.866100013,EMP_0176,0.862299979
EMP_0054,Senior Applications Analyst Internal,0,Applications & Business Systems Analysis,"['SQL', 'ITSM/Service Desk', 'Engineering/Maintenance', 'Safety/EHS', 'Supply Chain', 'IT/Business Systems']","SQL, ITSM/Service Desk, Engineering/Maintenance, Safety/EHS, Supply Chain, IT/Business Systems",6,EMP_0488,0.946500003,EMP_0493,0.940199971,EMP_0467,0.928200006
EMP_0055,"Senior Analyst, Corporate Development",1,Treasury & Corporate Finance Leadership,"['Excel', 'Supply Chain', 'Tax/Transfer Pricing']","Excel, Supply Chain, Tax/Transfer Pricing",3,EMP_0056,0.992900014,EMP_0197,0.871100008,EMP_0058,0.853600025
EMP_0056,Sr Analyst Corp Dev,1,Treasury & Corporate Finance Leadership,"['Excel', 'Supply Chain', 'Tax/Transfer Pricing']","Excel, Supply Chain, Tax/Transfer Pricing",3,EMP_0055,0.992900014,EMP_0197,0.870999992,EMP_0058,0.844399989
EMP_0057,Senior Business Systems Analyst Internal,0,Applications & Business Systems Analysis,"['Excel', 'Oracle/ERP', 'ITSM/Service Desk', 'Supply Chain', 'ESG/Sustainability', 'Data Analysis', 'Project Management', 'IT/Business Systems']","Excel, Oracle/ERP, ITSM/Service Desk, Supply Chain, ESG/Sustainability, Data Analysis, Project Management, IT/Business Systems",8,EMP_0442,0.859899998,EMP_0454,0.859700024,EMP_0486,0.851000011
EMP_0058,"Senior Business Analyst, Global Supply Chain Internal",20,Global Supply Chain Planning,"['Excel', 'Supply Chain', 'Data Analysis']","Excel, Supply Chain, Data Analysis",3,EMP_0604,0.947899997,EMP_0596,0.929799974,EMP_0603,0.913100004
EMP_0059,Global Admin,24,Admin Support (Document Control),['HR/Payroll'],HR/Payroll,1,EMP_0089,0.953999996,EMP_0165,0.871500015,EMP_0088,0.864499986
EMP_0060,Systems Engineer Internal,10,Engineering (Electrical / Instrumentation & Controls),['Engineering/Maintenance'],Engineering/Maintenance,1,EMP_0008,0.878899992,EMP_0004,0.872699976,EMP_0474,0.859000027
EMP_0061,"Manager, Operations WFS",2,Customer Service & Logistics (Supply Chain Execution),"['Excel', 'Safety/EHS']","Excel, Safety/EHS",2,EMP_0062,1,EMP_0145,0.898000002,EMP_0076,0.857200027
EMP_0062,"Manager, Operations WFS",2,Customer Service & Logistics (Supply Chain Execution),"['Excel', 'Safety/EHS']","Excel, Safety/EHS",2,EMP_0061,1,EMP_0145,0.898000002,EMP_0076,0.857200027
EMP_0063,Maintenance Assistant,24,Admin Support (Document Control),['Engineering/Maintenance'],Engineering/Maintenance,1,EMP_0064,0.855799973,EMP_0096,0.810199976,EMP_0114,0.791899979
EMP_0064,Mechanical Technician,17,Maintenance & Reliability Engineering,"['Engineering/Maintenance', 'Admin/EA']","Engineering/Maintenance, Admin/EA",2,EMP_0096,0.898599982,EMP_0032,0.885599971,EMP_0073,0.875100017
EMP_0065,Total Rewards & Mobility Analyst,7,HR Operations,"['Excel', 'Tax/Transfer Pricing', 'HR/Payroll']","Excel, Tax/Transfer Pricing, HR/Payroll",3,EMP_0397,0.912699997,EMP_0407,0.881600022,EMP_0396,0.878700018
EMP_0066,Expression of Interest Form,4,IT Applications Support,[],None,0,EMP_0553,0.79460001,EMP_0423,0.787100017,EMP_0431,0.787100017
EMP_0067,Cost Accountant,21,Procurement / Buying,"['Excel', 'Safety/EHS', 'Finance/Reporting']","Excel, Safety/EHS, Finance/Reporting",3,EMP_0189,0.800100029,EMP_0037,0.799399972,EMP_0093,0.793600023
EMP_0068,Rotating Equipment Maintenance Engineer,17,Maintenance & Reliability Engineering,"['Engineering/Maintenance', 'Safety/EHS', 'Supply Chain']","Engineering/Maintenance, Safety/EHS, Supply Chain",3,EMP_0207,0.903599977,EMP_0166,0.891499996,EMP_0114,0.889699996
EMP_0069,Warehouse Supervisor,8,Plant Operations & HSE / Shift & Lab Support,"['Safety/EHS', 'Supply Chain']","Safety/EHS, Supply Chain",2,EMP_0159,0.847299993,EMP_0092,0.846800029,EMP_0152,0.843800008
EMP_0070,Training Support Administrator,24,Admin Support (Document Control),[],None,0,EMP_0088,0.849600017,EMP_0059,0.842700005,EMP_0089,0.826399982
EMP_0071,ADV Director Global Procurement,20,Global Supply Chain Planning,['Supply Chain'],Supply Chain,1,EMP_0077,0.917100012,EMP_0606,0.909699976,EMP_0081,0.896799982
EMP_0072,Global Tactical Planner Internal,20,Global Supply Chain Planning,"['Excel', 'Engineering/Maintenance', 'Supply Chain', 'ESG/Sustainability']","Excel, Engineering/Maintenance, Supply Chain, ESG/Sustainability",4,EMP_0100,0.988499999,EMP_0602,0.976499975,EMP_0609,0.975799978
EMP_0073,Process Engineer Production Internal,5,Process Engineering,"['ITSM/Service Desk', 'Engineering/Maintenance', 'Safety/EHS']","ITSM/Service Desk, Engineering/Maintenance, Safety/EHS",3,EMP_0013,0.924199998,EMP_0002,0.9023,EMP_0007,0.893400013
EMP_0074,HR Assistant Search,3,Corporate Admin Support (Office Coordination),"['Excel', 'Admin/EA']","Excel, Admin/EA",2,EMP_0399,0.969600022,EMP_0391,0.963800013,EMP_0410,0.949500024
EMP_0075,ADV Project Manager Maximo Transformation,23,Mechanical Maintenance Planning,"['Engineering/Maintenance', 'Supply Chain', 'Admin/EA', 'Project Management']","Engineering/Maintenance, Supply Chain, Admin/EA, Project Management",4,EMP_0175,0.886699975,EMP_0133,0.873000026,EMP_0513,0.872399986
EMP_0076,Commercial Director,2,Customer Service & Logistics (Supply Chain Execution),"['Supply Chain', 'Tax/Transfer Pricing', 'Legal/Contracts']","Supply Chain, Tax/Transfer Pricing, Legal/Contracts",3,EMP_0160,0.990499973,EMP_0061,0.857200027,EMP_0062,0.857200027
EMP_0077,"Director, Global Supply Chain",20,Global Supply Chain Planning,"['Excel', 'Supply Chain']","Excel, Supply Chain",2,EMP_0606,0.986299992,EMP_0085,0.951900005,EMP_0607,0.948899984
EMP_0078,Manager Strategy Corporate Development,20,Global Supply Chain Planning,"['ESG/Sustainability', 'Project Management']","ESG/Sustainability, Project Management",2,EMP_0197,0.916100025,EMP_0618,0.885299981,EMP_0617,0.882300019
EMP_0079,HR EoI,7,HR Operations,['HR/Payroll'],HR/Payroll,1,EMP_0414,0.847299993,EMP_0003,0.83950001,EMP_0039,0.830500007
EMP_0080,Manager FPA,6,Financial Reporting & Accounting (Controllership),['Excel'],Excel,1,EMP_0300,0.955200016,EMP_0285,0.948199987,EMP_0263,0.908500016
EMP_0081,Director Global Gas,20,Global Supply Chain Planning,[],None,0,EMP_0167,0.937300026,EMP_0077,0.91109997,EMP_0606,0.908100009
EMP_0082,"Director, IT Site Operations",19,Enterprise IT / Technology Services,"['Oracle/ERP', 'Project Management']","Oracle/ERP, Project Management",2,EMP_0530,0.974600017,EMP_0141,0.878000021,EMP_0514,0.871699989
EMP_0083,Supply Chain Analyst Santiago Chile,2,Customer Service & Logistics (Supply Chain Execution),['Supply Chain'],Supply Chain,1,EMP_0211,0.874100029,EMP_0137,0.851400018,EMP_0027,0.849699974
EMP_0084,Production Shift Supervisor,8,Plant Operations & HSE / Shift & Lab Support,"['Engineering/Maintenance', 'Safety/EHS']","Engineering/Maintenance, Safety/EHS",2,EMP_0185,1,EMP_0194,0.923799992,EMP_0092,0.910300016
EMP_0085,"Manager, Global Supply Chain Planning",20,Global Supply Chain Planning,"['Engineering/Maintenance', 'Supply Chain']","Engineering/Maintenance, Supply Chain",2,EMP_0607,0.971800029,EMP_0597,0.969399989,EMP_0072,0.959999979
EMP_0086,Millwright,17,Maintenance & Reliability Engineering,"['Engineering/Maintenance', 'Safety/EHS', 'Supply Chain']","Engineering/Maintenance, Safety/EHS, Supply Chain",3,EMP_0124,0.970600009,EMP_0032,0.911899984,EMP_0068,0.855799973
EMP_0087,IT BRM MH,19,Enterprise IT / Technology Services,"['ITSM/Service Desk', 'Safety/EHS', 'Supply Chain', 'Finance/Reporting', 'Project Management']","ITSM/Service Desk, Safety/EHS, Supply Chain, Finance/Reporting, Project Management",5,EMP_0141,0.958100021,EMP_0514,0.952400029,EMP_0523,0.950100005
EMP_0088,Business Support Administrator Fixed,24,Admin Support (Document Control),"['Supply Chain', 'Audit/SOX']","Supply Chain, Audit/SOX",2,EMP_0059,0.864499986,EMP_0070,0.849600017,EMP_0089,0.842499971
EMP_0089,Global Coordinator,24,Admin Support (Document Control),"['Engineering/Maintenance', 'HR/Payroll', 'Admin/EA']","Engineering/Maintenance, HR/Payroll, Admin/EA",3,EMP_0059,0.953999996,EMP_0165,0.872600019,EMP_0548,0.861999989
EMP_0090,Service Desk Analyst,22,IT Service Desk & End-User Support,"['ITSM/Service Desk', 'Engineering/Maintenance', 'Safety/EHS', 'IT/Business Systems']","ITSM/Service Desk, Engineering/Maintenance, Safety/EHS, IT/Business Systems",4,EMP_0142,0.923099995,EMP_0558,0.91839999,EMP_0545,0.917100012
EMP_0091,IT BRM Egypt,19,Enterprise IT / Technology Services,"['ITSM/Service Desk', 'Engineering/Maintenance', 'Finance/Reporting', 'Project Management']","ITSM/Service Desk, Engineering/Maintenance, Finance/Reporting, Project Management",4,EMP_0141,0.887899995,EMP_0518,0.885399997,EMP_0087,0.884800017
EMP_0092,Operations Shift Superintendent New Damietta,8,Plant Operations & HSE / Shift & Lab Support,"['Excel', 'ITSM/Service Desk', 'Engineering/Maintenance', 'Safety/EHS']","Excel, ITSM/Service Desk, Engineering/Maintenance, Safety/EHS",4,EMP_0084,0.910300016,EMP_0185,0.910300016,EMP_0159,0.898999989
EMP_0093,Senior Accounting and Management Supervisor Chile,6,Financial Reporting & Accounting (Controllership),"['Oracle/ERP', 'Tax/Transfer Pricing']","Oracle/ERP, Tax/Transfer Pricing",2,EMP_0094,0.998899996,EMP_0011,0.879000008,EMP_0262,0.876299977
EMP_0094,Senior Accounting and Management Supervisor,6,Financial Reporting & Accounting (Controllership),"['Oracle/ERP', 'Tax/Transfer Pricing']","Oracle/ERP, Tax/Transfer Pricing",2,EMP_0093,0.998899996,EMP_0011,0.880699992,EMP_0030,0.877399981
EMP_0095,Senior Maintenance Planner Beaumont,23,Mechanical Maintenance Planning,"['Excel', 'Oracle/ERP', 'Engineering/Maintenance', 'Safety/EHS']","Excel, Oracle/ERP, Engineering/Maintenance, Safety/EHS",4,EMP_0109,0.885900021,EMP_0097,0.864899993,EMP_0126,0.859000027
EMP_0096,Manager Maintenance Internal,17,Maintenance & Reliability Engineering,"['Engineering/Maintenance', 'Safety/EHS']","Engineering/Maintenance, Safety/EHS",2,EMP_0104,0.914099991,EMP_0064,0.898599982,EMP_0005,0.868900001
EMP_0097,Mechanical Planner Geismar,23,Mechanical Maintenance Planning,"['Engineering/Maintenance', 'Safety/EHS', 'Admin/EA']","Engineering/Maintenance, Safety/EHS, Admin/EA",3,EMP_0183,0.949500024,EMP_0182,0.910899997,EMP_0156,0.905200005
EMP_0098,Global Advisor Reliability,17,Maintenance & Reliability Engineering,"['ITSM/Service Desk', 'Engineering/Maintenance', 'Data Analysis']","ITSM/Service Desk, Engineering/Maintenance, Data Analysis",3,EMP_0187,0.865199983,EMP_0125,0.858099997,EMP_0166,0.829200029
EMP_0099,Finance Staff Accountant Beaumont,21,Procurement / Buying,"['Oracle/ERP', 'Tax/Transfer Pricing']","Oracle/ERP, Tax/Transfer Pricing",2,EMP_0116,0.907599986,EMP_0172,0.878799975,EMP_0277,0.819500029
EMP_0100,Global Tactical Planner Internal,20,Global Supply Chain Planning,"['Excel', 'Engineering/Maintenance', 'Supply Chain']","Excel, Engineering/Maintenance, Supply Chain",3,EMP_0072,0.988499999,EMP_0602,0.966499984,EMP_0609,0.965900004
EMP_0101,IE Project Execution Coordinator Geismar,23,Mechanical Maintenance Planning,"['Engineering/Maintenance', 'Admin/EA']","Engineering/Maintenance, Admin/EA",2,EMP_0182,0.925999999,EMP_0156,0.924899995,EMP_0109,0.88380003
EMP_0102,Process Operator GEI,8,Plant Operations & HSE / Shift & Lab Support,"['ITSM/Service Desk', 'Engineering/Maintenance', 'Safety/EHS']","ITSM/Service Desk, Engineering/Maintenance, Safety/EHS",3,EMP_0184,0.960300028,EMP_0181,0.922299981,EMP_0204,0.881399989
EMP_0103,"Advisor, Global Mobility Internal",7,HR Operations,"['Tax/Transfer Pricing', 'HR/Payroll']","Tax/Transfer Pricing, HR/Payroll",2,EMP_0418,0.966799974,EMP_0381,0.94569999,EMP_0419,0.896099985
EMP_0104,Maintenance Manager,17,Maintenance & Reliability Engineering,"['Excel', 'Engineering/Maintenance']","Excel, Engineering/Maintenance",2,EMP_0154,0.925300002,EMP_0096,0.914099991,EMP_0005,0.895399988
EMP_0105,Manager Logistics Houston,20,Global Supply Chain Planning,['Supply Chain'],Supply Chain,1,EMP_0198,0.915899992,EMP_0209,0.909300029,EMP_0607,0.903599977
EMP_0106,Manager Operations,8,Plant Operations & HSE / Shift & Lab Support,"['ITSM/Service Desk', 'Engineering/Maintenance', 'Safety/EHS']","ITSM/Service Desk, Engineering/Maintenance, Safety/EHS",3,EMP_0023,0.964100003,EMP_0084,0.909600019,EMP_0185,0.909600019
EMP_0107,Mechanical Integrity Supervisor Beaumont,17,Maintenance & Reliability Engineering,"['Engineering/Maintenance', 'Safety/EHS']","Engineering/Maintenance, Safety/EHS",2,EMP_0049,0.91869998,EMP_0200,0.842100024,EMP_0125,0.841400027
EMP_0108,HR Manager,7,HR Operations,['HR/Payroll'],HR/Payroll,1,EMP_0383,0.920099974,EMP_0003,0.900399983,EMP_0039,0.894599974
